collection,encoder,metadata_family,image_family,metadata_config,image_config,image_weight,validation_n,pre2025_validation_transaction_rmse,pre2025_validation_transaction_mse
MAYC,SDXL_VAE,XGBoost,XGBoost,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.1,16221,0.4019515351560571,0.161565036614311
MAYC,SDXL_VAE,XGBoost,LightGBM,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.2,16221,0.4019347810547288,0.16155156822151276
MAYC,DreamSim,XGBoost,OLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",{},0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,DreamSim,XGBoost,Ridge,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.01}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,DreamSim,XGBoost,ElasticNet,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,DreamSim,XGBoost,PLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""components"": 32}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,DreamSim,XGBoost,LinearSVR,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""C"": 1, ""epsilon"": 0.1}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,DreamSim,XGBoost,HistGradientBoosting,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",0.1,16221,0.40196580999448417,0.16157651240452175
MAYC,DreamSim,XGBoost,XGBoost,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.1,16221,0.4019608503055386,0.16157252517835158
MAYC,DreamSim,XGBoost,LightGBM,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,AIM,XGBoost,OLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",{},0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,AIM,XGBoost,Ridge,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 10}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,AIM,XGBoost,ElasticNet,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,AIM,XGBoost,PLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""components"": 64}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,AIM,XGBoost,LinearSVR,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""C"": 0.1, ""epsilon"": 0.1}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,AIM,XGBoost,HistGradientBoosting,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,AIM,XGBoost,XGBoost,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,AIM,XGBoost,LightGBM,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.0,16221,0.40196981287698486,0.16157973046435822
