collection,encoder,image_family,image_weight,validation_n,pre2025_validation_transaction_mse,pre2025_validation_transaction_rmse
BAYC,SigLIP2,PLS,0.6,6187,1.9151161225807616,1.3838772064676699
BAYC,SigLIP2,PLS,0.7,6187,1.9155246946767883,1.384024817218531
BAYC,SigLIP2,PLS,0.8,6187,1.9160162294284,1.3842023802278336
BAYC,SigLIP2,PLS,0.9,6187,1.9165907268355964,1.3844098839706385
BAYC,SigLIP2,PLS,1.0,6187,1.9172481868983784,1.3846473149861587
BAYC,SigLIP2,LinearSVR,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,SigLIP2,LinearSVR,0.1,6187,1.914270915415097,1.383571796263243
BAYC,SigLIP2,LinearSVR,0.2,6187,1.9142370942462272,1.383559573797322
BAYC,SigLIP2,LinearSVR,0.3,6187,1.9143054422652725,1.3835842736404864
BAYC,SigLIP2,LinearSVR,0.4,6187,1.9144759594722318,1.3836458938154053
BAYC,SigLIP2,LinearSVR,0.5,6187,1.9147486458671066,1.383744429389729
BAYC,SigLIP2,LinearSVR,0.6,6187,1.9151235014498953,1.3838798724780614
BAYC,SigLIP2,LinearSVR,0.7,6187,1.9156005262205988,1.3840522122451158
BAYC,SigLIP2,LinearSVR,0.8,6187,1.9161797201792177,1.3842614349100453
BAYC,SigLIP2,LinearSVR,0.9,6187,1.916861083325751,1.384507523751948
BAYC,SigLIP2,LinearSVR,1.0,6187,1.917644615660198,1.38479045911654
BAYC,SigLIP2,HistGradientBoosting,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,SigLIP2,HistGradientBoosting,0.1,6187,1.914395700172856,1.3836168906792286
BAYC,SigLIP2,HistGradientBoosting,0.2,6187,1.9145339511186834,1.3836668497578033
BAYC,SigLIP2,HistGradientBoosting,0.3,6187,1.9148216586093632,1.3837708114457983
BAYC,SigLIP2,HistGradientBoosting,0.4,6187,1.9152588226448948,1.383928763573073
BAYC,SigLIP2,HistGradientBoosting,0.5,6187,1.9158454432252794,1.3841406876561644
BAYC,SigLIP2,HistGradientBoosting,0.6,6187,1.916581520350516,1.384406558909093
