collection,encoder,metadata_family,image_family,metadata_config,image_config,image_weight,validation_n,pre2025_validation_transaction_rmse,pre2025_validation_transaction_mse,overall_selected_pre2025,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd
BAYC,DreamSim,Ridge,Ridge,"{""alpha"": 1000}","{""alpha"": 1000}",0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
BAYC,DreamSim,Ridge,ElasticNet,"{""alpha"": 1000}","{""alpha"": 0.01, ""l1_ratio"": 0.1}",0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
BAYC,DreamSim,Ridge,PLS,"{""alpha"": 1000}","{""components"": 8}",0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
BAYC,DreamSim,Ridge,LinearSVR,"{""alpha"": 1000}","{""C"": 0.01, ""epsilon"": 0.2}",0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
BAYC,DreamSim,Ridge,HistGradientBoosting,"{""alpha"": 1000}","{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.2,6187,1.3835314976047233,1.9141594048643684,False,0.2531206511251241,0.10701387625050904,0.14499972392118066,0.2737439007579036,5120,1498,0.26701942083123437,0.12162886054121905,0.30140899484296524,0.3194709364844748
BAYC,DreamSim,Ridge,XGBoost,"{""alpha"": 1000}","{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.2,6187,1.3835196132478815,1.9141265202415678,True,0.25293512879497965,0.1068606062710733,0.14625259295963078,0.2737439007579036,5120,1498,0.2662858307308526,0.12134782991010068,0.3052422401498306,0.3194709364844748
BAYC,DreamSim,Ridge,LightGBM,"{""alpha"": 1000}","{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.1,6187,1.3835736077048402,1.9142759279373867,False,0.2529802522007207,0.10691483148195317,0.1459479502067248,0.2737439007579036,5120,1498,0.26680722060747136,0.1214473287744614,0.3025188936177766,0.3194709364844748
BAYC,AIM,Ridge,OLS,"{""alpha"": 1000}",{},0.1,6187,1.3836015592161741,1.9143532746654282,False,0.2529569557374122,0.10687470283169014,0.1461052389749845,0.2737439007579036,5120,1498,0.2671335930597316,0.1214749230536545,0.3008114597014935,0.3194709364844748
BAYC,AIM,Ridge,Ridge,"{""alpha"": 1000}","{""alpha"": 100}",0.1,6187,1.383602218906529,1.9143551001630705,False,0.2530164920290569,0.10686304622147617,0.14570324401899504,0.2737439007579036,5120,1498,0.26734076547845054,0.12150861508147737,0.29972654373297003,0.3194709364844748
BAYC,AIM,Ridge,ElasticNet,"{""alpha"": 1000}","{""alpha"": 0.001, ""l1_ratio"": 0.9}",0.1,6187,1.3835889194038666,1.9143182978971596,False,0.25310210133230604,0.10689474266164811,0.14512503567873247,0.2737439007579036,5120,1498,0.2676682091780331,0.12163394294790875,0.29801007855970896,0.3194709364844748
BAYC,AIM,Ridge,PLS,"{""alpha"": 1000}","{""components"": 32}",0.1,6187,1.3835911957828642,1.9143245970478562,False,0.2529955834778892,0.10682010278649305,0.14584443141160452,0.2737439007579036,5120,1498,0.2673289548581437,0.12145583807521446,0.2997884159371348,0.3194709364844748
BAYC,AIM,Ridge,LinearSVR,"{""alpha"": 1000}","{""C"": 0.01, ""epsilon"": 0.1}",0.1,6187,1.3836060469674,1.914365693204755,False,0.2530038245272307,0.10686311170863712,0.1457887841727451,0.2737439007579036,5120,1498,0.2673080116673582,0.12150937771764597,0.2998981241456643,0.3194709364844748
BAYC,AIM,Ridge,HistGradientBoosting,"{""alpha"": 1000}","{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",0.1,6187,1.3836124570265758,1.9143834312391177,False,0.253131702989379,0.10683400099268621,0.1449250595013647,0.2737439007579036,5120,1498,0.2676814432226012,0.12161430276400055,0.29794066130917085,0.3194709364844748
BAYC,AIM,Ridge,XGBoost,"{""alpha"": 1000}","{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
BAYC,AIM,Ridge,LightGBM,"{""alpha"": 1000}","{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
MAYC,DINOv2,XGBoost,OLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",{},0.0,16221,0.40196981287698486,0.16157973046435822,False,0.16747925531384972,0.0912984418814126,0.2323845335714112,0.19115654080030414,13019,2492,0.2045401466546313,0.11166066781521536,0.2945945560558185,0.24353375185129997
