collection,encoder,family,training_equal_token_n_transactions,training_equal_token_n_tokens,training_equal_token_rmse,training_equal_token_mae,training_equal_token_r2,training_equal_token_target_sd,training_transaction_rmse,training_transaction_mae,training_transaction_r2,training_transaction_target_sd
BAYC,SAM,XGBoost,35206,5746,0.8548728428996017,0.16034941275678735,0.05080781053249428,0.877454171372585,0.7669871133481087,0.11099375857021088,0.019475493284837886,0.7745667336219184
BAYC,SAM,LightGBM,35206,5746,0.8494209880387832,0.14223088051106053,0.06287593752680654,0.877454171372585,0.7638169448048717,0.1026087930581763,0.027564296602529348,0.7745667336219184
BAYC,SDXL_VAE,OLS,35206,5746,0.8613156215505309,0.16308963535052562,0.03644665771563027,0.877454171372585,0.7687479717216718,0.11276307162509337,0.014968124928043225,0.7745667336219184
BAYC,SDXL_VAE,Ridge,35206,5746,0.8585564238914628,0.16765022824228776,0.042610195527698624,0.877454171372585,0.7684848913524633,0.11459504327963174,0.015642203344169214,0.7745667336219184
BAYC,SDXL_VAE,ElasticNet,35206,5746,0.8561792080023195,0.16510521216064172,0.04790459749317699,0.877454171372585,0.7681793980806416,0.11461425243223934,0.01642466482458882,0.7745667336219184
BAYC,SDXL_VAE,PLS,35206,5746,0.8617500543713863,0.16490491013743808,0.035474413039733976,0.877454171372585,0.7691466094031691,0.11360323709380318,0.013946274730243569,0.7745667336219184
BAYC,SDXL_VAE,LinearSVR,35206,5746,0.8607439714361348,0.1645448439519067,0.037725242657322466,0.877454171372585,0.7687101694992449,0.1139571474187718,0.015064997973259997,0.7745667336219184
BAYC,SDXL_VAE,HistGradientBoosting,35206,5746,0.8467425526315077,0.1417634062853316,0.06877658970520784,0.877454171372585,0.7635908713272119,0.10306687491025839,0.02813985174963496,0.7745667336219184
BAYC,SDXL_VAE,XGBoost,35206,5746,0.8462433392183379,0.14101452281539006,0.06987430748583745,0.877454171372585,0.7634216254111132,0.10291654268968876,0.028570619426013577,0.7745667336219184
BAYC,SDXL_VAE,LightGBM,35206,5746,0.8538198955920919,0.15573174050962976,0.05314461151375649,0.877454171372585,0.7660901678059941,0.10799861811895307,0.021767481825501034,0.7745667336219184
BAYC,DreamSim,OLS,35206,5746,0.8572417723405521,0.16048922179694922,0.04553992809771368,0.877454171372585,0.7678927825582169,0.11234271201099925,0.01715849176105899,0.7745667336219184
BAYC,DreamSim,Ridge,35206,5746,0.8585265348465827,0.16773054404404142,0.04267685385775166,0.877454171372585,0.7686003764173733,0.11467665118885093,0.015346329822328642,0.7745667336219184
BAYC,DreamSim,ElasticNet,35206,5746,0.8573988180761488,0.1685169594354617,0.04519018402521846,0.877454171372585,0.7686588661486355,0.11612515478146287,0.01519646177210543,0.7745667336219184
BAYC,DreamSim,PLS,35206,5746,0.8581468624873921,0.1610602646120911,0.043523394419678896,0.877454171372585,0.7680908523401084,0.11249474757551844,0.01665139932764348,0.7745667336219184
BAYC,DreamSim,LinearSVR,35206,5746,0.8571410079587392,0.16194334638862762,0.0457642987005934,0.877454171372585,0.7677791245577761,0.11347729702070805,0.01744941657769672,0.7745667336219184
BAYC,DreamSim,HistGradientBoosting,35206,5746,0.8569186935723494,0.15849098076795878,0.04625922966597684,0.877454171372585,0.7667939125268108,0.10876358385901572,0.019969411050518637,0.7745667336219184
BAYC,DreamSim,XGBoost,35206,5746,0.8468560809449981,0.1422628325662752,0.06852686253553619,0.877454171372585,0.7635988693595657,0.10322281752126679,0.02811949265444702,0.7745667336219184
BAYC,DreamSim,LightGBM,35206,5746,0.8496778081778985,0.14495283834175224,0.06230917800756541,0.877454171372585,0.7640855229562422,0.10358802439692974,0.026880308368639527,0.7745667336219184
BAYC,AIM,OLS,35206,5746,0.8569854451304303,0.16126237093163726,0.04611063642716984,0.877454171372585,0.7677717628420041,0.11244861247093683,0.017468258516004087,0.7745667336219184
BAYC,AIM,Ridge,35206,5746,0.8542090087438508,0.16181647582085631,0.052281390031207464,0.877454171372585,0.7677846421467048,0.11388957380211476,0.017435294470107388,0.7745667336219184
BAYC,AIM,ElasticNet,35206,5746,0.8564461338696902,0.16703007209423104,0.04731084678202069,0.877454171372585,0.7687094303279784,0.11688068392980304,0.015066892146985422,0.7745667336219184
BAYC,AIM,PLS,35206,5746,0.8578298295518485,0.1670196588079597,0.044229983433645814,0.877454171372585,0.7692322816974329,0.11699233193512382,0.013726597002512775,0.7745667336219184
BAYC,AIM,LinearSVR,35206,5746,0.8539009599188642,0.16027185923650783,0.05296480816471083,0.877454171372585,0.7672692615829841,0.11281893665732567,0.018753957969248725,0.7745667336219184
BAYC,AIM,HistGradientBoosting,35206,5746,0.8581337672398621,0.1576278293309149,0.0435525856989033,0.877454171372585,0.7671702217588909,0.10891671630969077,0.019007261908455808,0.7745667336219184
BAYC,AIM,XGBoost,35206,5746,0.8520333443819326,0.15386394864139763,0.0571029073388174,0.877454171372585,0.7658482966689771,0.10825280581754267,0.02238508239145387,0.7745667336219184
BAYC,AIM,LightGBM,35206,5746,0.8521075520532277,0.14555314666506375,0.056938657324428155,0.877454171372585,0.7647949953516929,0.1038675867497118,0.02507233775427342,0.7745667336219184
MAYC,DINOv2,OLS,95207,9568,0.7300164729523246,0.16766958512699517,0.033357070170935366,0.7425054073221995,0.5480626700300936,0.10698532446500725,0.019600938877361584,0.5535142152344568
MAYC,DINOv2,Ridge,95207,9568,0.7309200228705806,0.16908431669281646,0.030962738843963944,0.7425054073221995,0.548637733536126,0.10786474927993235,0.017542460765355816,0.5535142152344568
MAYC,DINOv2,ElasticNet,95207,9568,0.7306138957356089,0.16858755169688622,0.0317742817469443,0.7425054073221995,0.5485560482281215,0.1077505486673876,0.01783499030717306,0.5535142152344568
MAYC,DINOv2,PLS,95207,9568,0.7315855345230318,0.17001694124881783,0.02919729483915423,0.7425054073221995,0.5490643509037388,0.10887749776421232,0.016013960695596796,0.5535142152344568
MAYC,DINOv2,LinearSVR,95207,9568,0.7300092144089215,0.16810774263961734,0.03337629270916409,0.7425054073221995,0.5480351487762009,0.1072334917488301,0.01969939890939787,0.5535142152344568
