collection,encoder,family,encoder_learner_selected_pre2025,overall_selected_pre2025,selected_config,pre2025_validation_transaction_rmse,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd
BAYC,AIM,OLS,False,False,{},1.3859803234408457,5120,1498,0.2740278124425938,0.12548379698252682,0.2642562562383989,0.3194709364844748,0.2574446458582233,0.11127099055743402,0.11553871973358387,0.2737439007579036
BAYC,AIM,Ridge,True,False,"{""alpha"": 1000}",1.3836640539235259,5120,1498,0.2676832330861617,0.1219543863493558,0.2979312725774481,0.3194709364844748,0.2534046710373037,0.10734933204894152,0.14307990155382722,0.2737439007579036
BAYC,AIM,ElasticNet,False,False,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.3836863138974187,5120,1498,0.27092237368749267,0.12271348886244601,0.28083749848237116,0.3194709364844748,0.2541410804842626,0.1071443022993408,0.13809214044053197,0.2737439007579036
BAYC,AIM,PLS,False,False,"{""components"": 8}",1.3838364122387519,5120,1498,0.27402278467780145,0.12350860362779022,0.26428325431952615,0.3194709364844748,0.255150465369537,0.10768545191723478,0.13123197860295233,0.2737439007579036
BAYC,AIM,LinearSVR,False,False,"{""C"": 0.01, ""epsilon"": 0.1}",1.384623811926849,5120,1498,0.271575023450158,0.12485671428344261,0.27736841194507733,0.3194709364844748,0.25582452416930546,0.1099372033365736,0.12663567695345568,0.2737439007579036
BAYC,AIM,HistGradientBoosting,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3860410640568397,5120,1498,0.29171498070554386,0.1268056289855463,0.16621369953461107,0.3194709364844748,0.2613281430557784,0.10923241357186156,0.08865364295277434,0.2737439007579036
BAYC,AIM,XGBoost,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3858489691057723,5120,1498,0.27610972223076596,0.12482023452018917,0.25303425081382513,0.3194709364844748,0.25640698239143145,0.10855322832743167,0.12265421871325943,0.2737439007579036
BAYC,AIM,LightGBM,False,False,"{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",1.3862288911050205,5120,1498,0.2905313440894464,0.12958088466593543,0.172966166029617,0.3194709364844748,0.26265554380978107,0.11224679454919836,0.07937187037076976,0.2737439007579036
MAYC,DINOv2,OLS,False,False,{},0.4031658146410459,13019,2492,0.20277274235306766,0.1108788496409068,0.3067325171684493,0.24353375185129997,0.16698884110179846,0.09115063354235388,0.23687342829479097,0.19115654080030414
MAYC,DINOv2,Ridge,False,False,"{""alpha"": 10000}",0.4024364823141618,13019,2492,0.20130446907641678,0.10961451325583493,0.31673603922135307,0.24353375185129997,0.16521518785622472,0.08968462794407618,0.25299826359723976,0.19115654080030414
MAYC,DINOv2,ElasticNet,True,False,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",0.4023516919956543,13019,2492,0.2005214917325419,0.10905450179594947,0.32204083743155276,0.24353375185129997,0.16516956459984322,0.08951796273413727,0.25341076739411406,0.19115654080030414
MAYC,DINOv2,PLS,False,False,"{""components"": 8}",0.4024546436414298,13019,2492,0.2012842525742638,0.10968607614733056,0.3168732692966182,0.24353375185129997,0.16499192889057773,0.08998646252536666,0.25501577970931777,0.19115654080030414
MAYC,DINOv2,LinearSVR,False,False,"{""C"": 0.01, ""epsilon"": 0.1}",0.4031628063438267,13019,2492,0.202948450724629,0.11100425750324396,0.30553052447230167,0.24353375185129997,0.16720052851990272,0.09116792416685693,0.23493741047063188,0.19115654080030414
MAYC,DINOv2,HistGradientBoosting,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.4027089931890894,13019,2492,0.20872343321527714,0.11327020988267714,0.2654453701692844,0.24353375185129997,0.1681019225055693,0.09206351868675912,0.22666612407998077,0.19115654080030414
