collection,encoder,family,native_dimension,analysis_dimension,selected_config,pre2025_validation_transaction_rmse
MAYC,SAM,HistGradientBoosting,256,256,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",0.40449657901243435
MAYC,SAM,XGBoost,256,256,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",0.40430267415884524
MAYC,SAM,LightGBM,256,256,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",0.40444782958187325
MAYC,SDXL_VAE,OLS,16384,1024,{},0.4023139208107301
MAYC,SDXL_VAE,Ridge,16384,1024,"{""alpha"": 0.01}",0.40231392153914913
MAYC,SDXL_VAE,ElasticNet,16384,1024,"{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.40233424957366937
MAYC,SDXL_VAE,PLS,16384,1024,"{""components"": 16}",0.40231386609974634
MAYC,SDXL_VAE,LinearSVR,16384,1024,"{""C"": 1, ""epsilon"": 0.1}",0.402490468199114
MAYC,SDXL_VAE,HistGradientBoosting,16384,1024,"{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.4026594818886485
MAYC,SDXL_VAE,XGBoost,16384,1024,"{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.40262134711811276
MAYC,SDXL_VAE,LightGBM,16384,1024,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.40261370823019654
MAYC,DreamSim,OLS,1792,1024,{},0.4038966928325687
MAYC,DreamSim,Ridge,1792,1024,"{""alpha"": 0.01}",0.4038966939916328
MAYC,DreamSim,ElasticNet,1792,1024,"{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.40392838046707513
MAYC,DreamSim,PLS,1792,1024,"{""components"": 32}",0.4038966928320661
MAYC,DreamSim,LinearSVR,1792,1024,"{""C"": 1, ""epsilon"": 0.1}",0.4040044418670275
MAYC,DreamSim,HistGradientBoosting,1792,1024,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",0.4037622893248097
MAYC,DreamSim,XGBoost,1792,1024,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.4034599806500718
MAYC,DreamSim,LightGBM,1792,1024,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.4036474521179588
MAYC,AIM,OLS,1024,1024,{},0.4044094564043384
MAYC,AIM,Ridge,1024,1024,"{""alpha"": 10}",0.40440652414740597
MAYC,AIM,ElasticNet,1024,1024,"{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.4044362634550447
MAYC,AIM,PLS,1024,1024,"{""components"": 64}",0.4045026430866296
MAYC,AIM,LinearSVR,1024,1024,"{""C"": 0.1, ""epsilon"": 0.1}",0.40451917296338036
MAYC,AIM,HistGradientBoosting,1024,1024,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.40370611248042654
MAYC,AIM,XGBoost,1024,1024,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.4038240023607073
MAYC,AIM,LightGBM,1024,1024,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.40378740803841845
