collection,encoder,family,training_equal_token_n_transactions,training_equal_token_n_tokens,training_equal_token_rmse,training_equal_token_mae,training_equal_token_r2,training_equal_token_target_sd,training_transaction_rmse,training_transaction_mae,training_transaction_r2,training_transaction_target_sd
BAYC,SDXL_VAE,ElasticNet,35206,5746,0.8583445129875472,0.16613999858942702,0.043082747582280145,0.877454171372585,0.7683137949231187,0.11404315245598201,0.016080471831864562,0.7745667336219183
BAYC,SDXL_VAE,PLS,35206,5746,0.8616946873156192,0.16605044245002026,0.0355983497337522,0.877454171372585,0.7690635938848339,0.1138695811587769,0.014159116710104502,0.7745667336219183
BAYC,SDXL_VAE,LinearSVR,35206,5746,0.861837367090515,0.16711753670611124,0.03527895121736646,0.877454171372585,0.7689972137338471,0.11476631924928109,0.014329291044270609,0.7745667336219183
BAYC,SDXL_VAE,HistGradientBoosting,35206,5746,0.852701832709375,0.1557747470154076,0.055622770508188424,0.877454171372585,0.7658247732082694,0.10803564391369545,0.022445137452019814,0.7745667336219183
BAYC,SDXL_VAE,XGBoost,35206,5746,0.8438715456610281,0.13647916764519613,0.07508078774153837,0.877454171372585,0.7626357006149043,0.10171746549696654,0.030569717761810056,0.7745667336219183
BAYC,SDXL_VAE,LightGBM,35206,5746,0.8461488261042692,0.13988168449930702,0.07008205899776376,0.877454171372585,0.7632929885949533,0.10224728342907291,0.028897964239014695,0.7745667336219183
BAYC,DreamSim,OLS,35206,5746,0.858397715312658,0.1661174503668031,0.042964119689242075,0.877454171372585,0.7684390946613955,0.11432622359505804,0.01575952246696244,0.7745667336219183
BAYC,DreamSim,Ridge,35206,5746,0.8600222785569317,0.1685971725252973,0.03933820940362698,0.877454171372585,0.7688382276307114,0.11486999842177924,0.014736813315936792,0.7745667336219183
BAYC,DreamSim,ElasticNet,35206,5746,0.8609348777872824,0.1696255573658178,0.03729834513395747,0.877454171372585,0.7691006199162473,0.11517781249209413,0.01406418917880592,0.7745667336219183
BAYC,DreamSim,PLS,35206,5746,0.8591971046194419,0.166855093383633,0.04118079603431868,0.877454171372585,0.7686143409215542,0.11446510741042254,0.015310549654564243,0.7745667336219183
BAYC,DreamSim,LinearSVR,35206,5746,0.8585212135230489,0.16738027962586838,0.04268872119135814,0.877454171372585,0.7683904804934448,0.1152781945027668,0.01588405157718964,0.7745667336219183
BAYC,DreamSim,HistGradientBoosting,35206,5746,0.8503863947293148,0.14683937595432434,0.060744556332387956,0.877454171372585,0.7643794498391515,0.10410167658248211,0.026131488915778767,0.7745667336219183
BAYC,DreamSim,XGBoost,35206,5746,0.8465376684996724,0.1410311013465464,0.06922718668190353,0.877454171372585,0.7633295178438064,0.10285149952341266,0.028805013098902932,0.7745667336219183
BAYC,DreamSim,LightGBM,35206,5746,0.8496270436256356,0.14541104029315652,0.06242122055426125,0.877454171372585,0.7640445308459205,0.10368558028722598,0.026984718564958765,0.7745667336219183
BAYC,AIM,OLS,35206,5746,0.8590435605307457,0.16553447608643723,0.04152345981991734,0.877454171372585,0.7685203475904434,0.114006001615621,0.015551368950854627,0.7745667336219183
BAYC,AIM,Ridge,35206,5746,0.858988678144722,0.1659974221672196,0.04164592578446169,0.877454171372585,0.7686573800416656,0.11433990876432223,0.015200269760412888,0.7745667336219183
BAYC,AIM,ElasticNet,35206,5746,0.8621123391053785,0.17038267525758108,0.03466325823739114,0.877454171372585,0.7695880616573203,0.11609122021610171,0.012814057403831902,0.7745667336219183
BAYC,AIM,PLS,35206,5746,0.8597750228467071,0.16774992327106167,0.039890508976619166,0.877454171372585,0.7690229780681268,0.11539552136723366,0.014263242495332396,0.7745667336219183
BAYC,AIM,LinearSVR,35206,5746,0.8586372416430216,0.1660350472099805,0.04242994474649464,0.877454171372585,0.7685144288518323,0.11459039415985144,0.015566532301322544,0.7745667336219183
BAYC,AIM,HistGradientBoosting,35206,5746,0.8600810027924415,0.16172153167858552,0.03920701267376536,0.877454171372585,0.767719372576909,0.10985520126349636,0.017602343525754627,0.7745667336219183
BAYC,AIM,XGBoost,35206,5746,0.8582724937624346,0.15994068290996677,0.04324332074786397,0.877454171372585,0.7671230742024431,0.10940765502320506,0.019127834860738213,0.7745667336219183
BAYC,AIM,LightGBM,35206,5746,0.8525477074769456,0.1466202407968364,0.05596413064175987,0.877454171372585,0.7649266259005132,0.10409539414691671,0.02473671498575769,0.7745667336219183
MAYC,DINOv2,OLS,95207,9568,0.7347595137098084,0.17584997418883433,0.020755379159869802,0.7425054073221995,0.5496070827036675,0.10966867930302368,0.014067724506865886,0.5535142152344569
MAYC,DINOv2,Ridge,95207,9568,0.7347591179955624,0.17584899850635546,0.020756433929315365,0.7425054073221995,0.549606718755311,0.10966911708902057,0.014069030269923899,0.5535142152344569
MAYC,DINOv2,ElasticNet,95207,9568,0.7349600396067886,0.17606742478722082,0.020220807786550776,0.7425054073221995,0.5497055443375225,0.10973129363131735,0.013714435033871375,0.5535142152344569
MAYC,DINOv2,PLS,95207,9568,0.7348030024710736,0.1758749143524762,0.020639457160821384,0.7425054073221995,0.5496224382490686,0.10967858036204857,0.01401263155123278,0.5535142152344569
MAYC,DINOv2,LinearSVR,95207,9568,0.7348314926610022,0.1761663356862862,0.020563511067243745,0.7425054073221995,0.549597488056157,0.10986818764915397,0.014102147607950699,0.5535142152344569
MAYC,DINOv2,HistGradientBoosting,95207,9568,0.7291585767490801,0.16265307095175413,0.03562768201728361,0.7425054073221995,0.5461427158833482,0.10219430868461671,0.026457907265671987,0.5535142152344569
MAYC,DINOv2,XGBoost,95207,9568,0.7288138494942857,0.16242124972769595,0.0365393268819032,0.7425054073221995,0.5461517888127322,0.10244194728281415,0.026425560584952712,0.5535142152344569
MAYC,DINOv2,LightGBM,95207,9568,0.7292596225722394,0.1628822162241469,0.03536038063795621,0.7425054073221995,0.5461602774950166,0.10222638287275386,0.026395296367235144,0.5535142152344569
MAYC,CLIP,OLS,95207,9568,0.7360276630701036,0.1769765331889189,0.017372231134585747,0.7425054073221995,0.5500781827361447,0.11030647841545806,0.01237680091852933,0.5535142152344569
MAYC,CLIP,Ridge,95207,9568,0.7360299271113656,0.17697877134752257,0.017366185945397294,0.7425054073221995,0.5500791871002486,0.11030713417175046,0.012373194397761966,0.5535142152344569
MAYC,CLIP,ElasticNet,95207,9568,0.7363895150690961,0.1779507409364808,0.01640581847544953,0.7425054073221995,0.5502611109673218,0.11074030055346107,0.011719824472495866,0.5535142152344569
MAYC,CLIP,PLS,95207,9568,0.7363492685984954,0.17778357488743937,0.01651332981756437,0.7425054073221995,0.5502299982753199,0.11070618613351291,0.011831579371493262,0.5535142152344569
MAYC,CLIP,LinearSVR,95207,9568,0.7362254672344261,0.17749700605237134,0.016844006470856043,0.7425054073221995,0.5501308058415681,0.11058108063794672,0.012187830378375675,0.5535142152344569
MAYC,CLIP,HistGradientBoosting,95207,9568,0.7289639931122472,0.16283890771932086,0.03614231913613675,0.7425054073221995,0.5461531440717152,0.10256343285894554,0.026420728788485892,0.5535142152344569
MAYC,CLIP,XGBoost,95207,9568,0.7278072978711844,0.16088086804708124,0.03919872540207814,0.7425054073221995,0.5457015609893447,0.10197377741643285,0.028030058227909938,0.5535142152344569
