collection,encoder,family,encoder_learner_selected_pre2025,selected_config,pre2025_validation_transaction_rmse,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd
MAYC,SAM,LightGBM,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",0.40444782958187325,13019,2492,0.21886236254243818,0.12105018208377691,0.1923487920890028,0.24353375185129997,0.17424497537974587,0.09677464622846851,0.16911254654294738,0.19115654080030414
MAYC,SDXL_VAE,OLS,False,{},0.4023139208107301,13019,2492,0.20494431947829694,0.11140032867389082,0.2918040291078481,0.24353375185129997,0.1680304557733528,0.0914072126942824,0.22732353353701718,0.19115654080030414
MAYC,SDXL_VAE,Ridge,False,"{""alpha"": 0.01}",0.40231392153914913,13019,2492,0.204944319722803,0.11140033426872081,0.2918040274180409,0.24353375185129997,0.16803045307745246,0.09140721485516842,0.2273235583308405,0.19115654080030414
MAYC,SDXL_VAE,ElasticNet,False,"{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.40233424957366937,13019,2492,0.204881971120497,0.11156717779791638,0.2922348596815545,0.24353375185129997,0.1678291299383717,0.09142662421714437,0.22917399025393093,0.19115654080030414
MAYC,SDXL_VAE,PLS,True,"{""components"": 16}",0.40231386609974634,13019,2492,0.20494838326642728,0.1114032212299426,0.291775943558359,0.24353375185129997,0.16803047113250155,0.09140761481656641,0.2273233922810376,0.19115654080030414
MAYC,SDXL_VAE,LinearSVR,False,"{""C"": 1, ""epsilon"": 0.1}",0.402490468199114,13019,2492,0.20508701943327015,0.11170861818997724,0.2908174712309747,0.24353375185129997,0.16807255473931265,0.09158833108724897,0.2269363066493404,0.19115654080030414
MAYC,SDXL_VAE,HistGradientBoosting,False,"{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.4026594818886485,13019,2492,0.2079265570199436,0.11369388348810569,0.27104351217128975,0.24353375185129997,0.16853482353770785,0.09240043545215175,0.22267797103657416,0.19115654080030414
MAYC,SDXL_VAE,XGBoost,False,"{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.40262134711811276,13019,2492,0.2093118467126789,0.11436438070118565,0.26129795756940033,0.24353375185129997,0.16904432860270002,0.09280774856046838,0.21797095369807062,0.19115654080030414
MAYC,SDXL_VAE,LightGBM,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.40261370823019654,13019,2492,0.20915337996698366,0.11418570083479798,0.2624160538310045,0.24353375185129997,0.16894718840493572,0.09279819606980971,0.2188694710282152,0.19115654080030414
MAYC,DreamSim,OLS,False,{},0.4038966928325687,13019,2492,0.21077908152345246,0.1147152934864792,0.25090534813288135,0.24353375185129997,0.16937782023459236,0.0927192269906991,0.21488232719384526,0.19115654080030414
MAYC,DreamSim,Ridge,False,"{""alpha"": 0.01}",0.4038966939916328,13019,2492,0.21077909256587676,0.11471529930300783,0.2509052696448155,0.24353375185129997,0.16937782564655182,0.09271922925336311,0.2148822770216906,0.19115654080030414
MAYC,DreamSim,ElasticNet,False,"{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.40392838046707513,13019,2492,0.21110950651457408,0.11485221989106727,0.24855489094061756,0.24353375185129997,0.16951684727757435,0.09274021083113283,0.21359293304446925,0.19115654080030414
MAYC,DreamSim,PLS,False,"{""components"": 32}",0.4038966928320661,13019,2492,0.21077908153916108,0.11471529349597154,0.25090534802122666,0.24353375185129997,0.16937782023880113,0.09271922699446573,0.21488232715482747,0.19115654080030414
